dataset name,url
COVID-19 Statewise Vaccine Doses - India [Latest],/abhimaneukj/covid19-statewise-vaccine-doses-india-latest
Iris Flower Dataset,/arshid/iris-flower-dataset
Asus Laptops sale on filpkart(walmart subsidary),/ramjasmaurya/asus-laptops-sale-on-filpkartwalmart-subsidary
Mall_Customers,/shwetabh123/mall-customers
Indian Travel Survey,/tejashvi14/indian-travel-survey
Heart Attack Analysis & Prediction Dataset,/rashikrahmanpritom/heart-attack-analysis-prediction-dataset
Salaries in AI - survey,/konradb/salaries-in-ai-survey
Asia Covid 19 Cases,/vivek468/asia-covid-19-cases-updated-10-oct-21
Genshin Impact Dataset,/fernandomatheus/genshin-impact-dataset
Top 100 Chess Players Around The World,/kkhandekar/top-100-chess-players-around-the-world
divvy-tripdata,/raymondmutyaba/divvytripdata
MCU complete dataset,/rachit239/mcu-complete-dataset
Social Network Ads,/rakeshrau/social-network-ads
Drug Classification,/prathamtripathi/drug-classification
Premier League Standings 2021-22 (Oct 13 2021),/pratmo/premier-league-standings-202122-oct-13-2021
Countries' VAT rate. 2020 data,/cityapiio/countries-vat-rate-2020-data
Air Passengers,/rakannimer/air-passengers
Iris.csv,/saurabh00007/iriscsv
Spotify and Genius Track Dataset,/saurabhshahane/spotgen-music-dataset
Car Evaluation Data Set,/elikplim/car-evaluation-data-set
Bond actress data,/travistyler/bond-girls-age-and-film-data
Youth and Adult Literacy Rate around the Globe,/komalkhetlani/youth-and-adult-literacy-rate-around-the-globe
Lung Cancer,/mysarahmadbhat/lung-cancer
Beginner's Regression Dataset,/sveneschlbeck/beginners-regression-dataset
U.S. Military Deaths by cause 1980-2010,/toomuchsauce/us-military-deaths-by-cause-19802010
Covid in African Countries - Latest Data,/anandhuh/covid-in-african-countries-latest-data
Padma Vibhushan Award Winners,/mayurdalvi/padma-vibhushan-award-winners
Countries' quality of life index. 2020 year,/cityapiio/countries-quality-of-life-index-2020-year
Top 100 Most Streamed Songs on Spotify,/pavan9065/top-100-most-streamed-songs-on-spotify
Global Child Marriage Data,/komalkhetlani/global-child-marriage-data
Nutritional Content of Cereals,/komalkhetlani/nutritional-content-of-cereals
Global Land-Ocean Temperature Index - 1880 to 2020,/kkhandekar/global-landocean-temperature-index
Indian States Performance Vaccine Dose 1 & Dose 2,/kartikbhatnagar18/indian-states-performance-vaccine-dose-1-dose-2
Heart Disease Classification Dataset,/sumaiyatasmeem/heart-disease-classification-dataset
Covid-19 in Europe - Latest Data,/anandhuh/latest-covid19-data-of-european-countries
FoodEmissions,/amandaroseknudsen/foodproductemissions
Breast Cancer Diagnostic Dataset (BCD),/devraikwar/breast-cancer-diagnostic
Coffee and code dataset,/shrutikunapuli/coffee-and-code-dataset
Heart Attack,/pritsheta/heart-attack
Popular CPU & GPU Specs,/kkhandekar/cpu-gpu-specs
Kansas State Government Tax Collections Data,/census/kansas-state-government-tax-collections-data
Travian Troops,/cblesa/travian-troops
"Executive Orders, 1789-2016",/nationalarchives/executive-orders
Do Conference Livetweets Get More Traffic?,/rtatman/do-tweets-from-conferences-get-more-traffic
Internal Navigation Dataset,/ljewell/internal-navigation-dataset
Total Operating Expenses Time Series Collection,/census/total-operating-expenses-time-series-collection
Equitable Sharing Spending Dataset,/washingtonpost/equitable-sharing-spending-dataset
Spelling Variation on Urban Dictionary,/rtatman/spelling-variation-on-urban-dictionary
Presidential Cabinet Nominations,/senate/confirmation-votes
Top Trending How Tos on Google,/GoogleNewsLab/top-trending-how-tos-on-google
Cryptocurrency extra data - Ethereum,/yamqwe/cryptocurrency-extra-data-ethereum
Total Wildfires & Acres Affected (1983 - 2020),/kkhandekar/total-wildfires-acres-affected-1983-2020
COVID-19 WEEKLY TRENDS IN EUROPE,/aryakrishnanar/covid19-weekly-trends-in-europe
Simple Linear Regression - Placement data,/mayurdalvi/simple-linear-regression-placement-data
Tour & Travels Customer Churn Prediction,/tejashvi14/tour-travels-customer-churn-prediction
Historical Components Of The Dow Jones (DJIA),/darinhawley/historical-components-of-the-dow-jones-djia
Covid in North America - Latest Data,/anandhuh/covid-in-north-america-latest-data
Iris dataset uci,/jillanisofttech/iris-dataset-uci
SHIBA INU Data,/varpit94/shiba-inu-data
Premier League Standings 11 Seasons (2010-2021),/quadeer15sh/premier-league-standings-11-seasons-20102021
Access to Computers From Home OECD,/babyoda/access-to-computers-from-home-oecd
Catalonia GDP by demand components (2000-2016),/xavier14/catalonia-gdp-by-demand-components-20002016
Family Households with Married Couples Data,/census/family-households-with-married-couples-data
OECD Better Life Index 2017,/jej13b/oecd-better-life-index
Election Day Tweets,/kinguistics/election-day-tweets
"Home, Homeowner Vacancy Rate for the United States","/census/home,-homeowner-vacancy-rate-for-the-united-states"
Can James Bond Be Black?,/timoboz/can-james-bond-be-black
Racing Kings (chess variant),/salvadordali/racingkings
NYC Government Building Energy Usage,/residentmario/nyc-building-energy-usage
Venues in Bournemouth,/r3w0p4/bournemouth-venues
SF Beaches Water Quality,/jboysen/sf-beaches-water
Sacred Games  ,/zusmani/sacred-games
Member States of the European Union,/eurostat/european-union
Judicial Expenditures across all 50 States,/rishidamarla/judicial-expenditures-across-all-50-states
School fires in Sweden 1998-2014,/mikaelhuss/swedish-school-fires
DJ Mag Top 100 History Dataset,/koki25ando/dj-mag-top-100-history-dataset
Color terms dataset,/rtatman/color-terms-dataset
Estimate of People of All Ages in Poverty Data,/census/estimate-of-people-of-all-ages-in-poverty-data
ENEM 2015,/gbonesso/enem2015
Marble Racing,/jessemostipak/marble-racing
2020 US General Election Turnout Rates,/imoore/2020-us-general-election-turnout-rates
Congressional Voting Records,/devvret/congressional-voting-records
"US Trademark Case Files, 1870-2016",/uspto/us-trademark-case-files-18702016
Online Retail Data Set from ML Repository,/mathchi/online-retail-data-set-from-ml-repository
Women Representation in City Property SanFrancisco,/ashkhagan/women-representation-in-city-property-sanfrancisco
Illegal Immigrants Arrested by US Border Patrol,/cbp/illegal-immigrants
"SpaceX Missions, 2006-Present",/spacex/spacex-missions
"Dengue, Temperatura e Chuvas em Campinas-SP",/renangomes/dengue-temperatura-e-chuvas-em-campinassp
OECD Unemployment rate (2020),/kavisekar/oecd-unemployment-rate-2020
xigua3.0 (Watermelons),/benjaminwang/xigua30
Foreign Direct Investment in India,/rajanand/fdi-in-india
"USA Income Tax Data by ZIP Code, 2014",/wpncrh/zip-code-income-tax-data-2014
Stars from Gaia DR2 and RAVE DR5,/solorzano/rave-dr5-gaia-dr2-consolidated
Cities in Australia,/koki25ando/city-list-of-australia
Beginner Projects - Ergonomic Study on Chopsticks,/priya2908/chopsticks-1992
Trappist-1 Solar System,/nasa/trappist1
"Person of the Year, 1927-Present",/timemagazine/magazine-covers
Harvard Tuition,/harvard-university/harvard-tuition
United States Commutes,/figshare/united-states-commutes
Rosary Prayers in Latin,/allanscott/rosary-prayers-in-latin
Heart Disease UCI,/ronitf/heart-disease-uci
Heart Failure Prediction,/andrewmvd/heart-failure-clinical-data
Mall Customer Segmentation Data,/vjchoudhary7/customer-segmentation-tutorial-in-python
Campus Recruitment,/benroshan/factors-affecting-campus-placement
Top 50 Spotify Songs - 2019,/leonardopena/top50spotify2019
Health care: Heart attack possibility ,/nareshbhat/health-care-data-set-on-heart-attack-possibility
Glass Classification,/uciml/glass
Zoo Animal Classification,/uciml/zoo-animal-classification
The Ultimate Halloween Candy Power Ranking,/fivethirtyeight/the-ultimate-halloween-candy-power-ranking
US Candy Production by Month,/rtatman/us-candy-production-by-month
World Happiness Report 2019,/PromptCloudHQ/world-happiness-report-2019
Superbowl History 1967 - 2020,/timoboz/superbowl-history-1967-2020
Women Entrepreneurship and Labor Force,/babyoda/women-entrepreneurship-and-labor-force
Health Insurance Coverage,/hhs/health-insurance
New York City - East River Bicycle Crossings,/new-york-city/nyc-east-river-bicycle-crossings
Memory Test on Drugged Islanders Data,/steveahn/memory-test-on-drugged-islanders-data
Married at First Sight,/mrisdal/married-at-first-sight
Groundhog Day Forecasts and Temperatures,/groundhogclub/groundhog-day
Minneapolis Incidents & Crime,/mrisdal/minneapolis-incidents-crime
PokemonGO,/abcsds/pokemongo
COVID-19 and IDH,/gisellefalcao/covid19-and-idh
Consumer Price Index (CPI) of Singapore,/subhamjain/consumer-price-index-cpi-of-singapore
Olympic Games medal Dataset(from 1896 to 2018),/rushikeshlavate/olympic-games-medal-datasetfrom-1896-to-2018
world covid vaccination progress,/prabinraj/world-covid-vaccination-progress
Data-Pengunjung-Mall,/baktisiregar/datapengunjungmall
AAPL.csv,/khoongweihao/aaplcsv
Mongolia Meat Price Time Series,/robertritz/ub-meat-prices
Prediction BOD in river water,/vbmokin/prediction-bod-in-river-water
James Bond Movie Dataset,/dreb87/jamesbond
Body Measurements,/tombutton/body-measurements
test-play-tennis,/tareqjoy/testplaytennis
Perrin Freres Monthly Champagne Sales,/galibce003/perrin-freres-monthly-champagne-sales
Google Ad Costs,/brendan45774/how-much-it-cost-to-get-an-ad-on-google
LinkedIn Poll Data,/kalilurrahman/linkedin-poll-data
Monthly Armed Robberies in Boston,/sujan97/monthly-armed-robberies-in-boston
Job Classification Dataset,/HRAnalyticRepository/job-classification-dataset
Instagram fake and real accounts dataset,/rezaunderfit/instagram-fake-and-real-accounts-dataset
COVID-CTset : A Large COVID-19 CT Scans dataset,/mohammadrahimzadeh/covidctset-a-large-covid19-ct-scans-dataset
Weight Loss Data,/ukveteran/weight-loss-data
Data visualization for beginners,/chryzal/data-visualization-for-beginners
Palmer Penguins Dataset-Alternative Iris Dataset,/ashkhagan/palmer-penguins-datasetalternative-iris-dataset
Network Analysis Data From Various Sources,/rahulgoel1106/network-analysis-data-from-various-sources
Minimum wage by country,/peipeichen/minimum-wage-by-country
Tickets Data,/gaganmaahi224/tickets-data
2018-2019 Premier League Data,/thesiff/premierleague1819
Swiggy : Bangalore delivery outlet data,/sabinhashmi/swiggy-bangalore-delivery-outlet-data
UK Lotto Draw History (2016~2020),/gogo827jz/uk-lotto-draw-history-20162020
USD-TRY Conversion and Interest Rates 2010-2021,/captainozlem/usdtry-conversion-and-interest-rates-20102021
Amphibians Data Set,/ishandutta/amphibians-data-set
014_world_gdp_with_codes,/jingsusu/014-world-gdp-with-codes
COVID-19 India Time Series,/ravichaubey1506/covid19-india
fifa.csv,/mahithabsl/fifacsv
Educational Loan Recommender System(demo trial),/spdsou/educational-loan-recommender-systemdemo-trial
Australia Population: Births and Deaths🇦🇺,/berkayalan/australia-population-births-and-deaths
Hepatitis Data,/codebreaker619/hepatitis-data
Predict if people prefer WFH vs WFO post Covid-19,/anninasimon/predict-if-people-prefer-wfh-verses-wfo-data
Dataset for Smart Home,/shegguy87/dataset-for-smart-home
Car Mileage Prediction,/trohitbharadwaj/car-mileage-prediction
Dataset of Pizza Price 🍕,/alyeasin/predict-pizza-price
List_of_aircraft_carriers_in_service,/mathurinache/list-of-aircraft-carriers-in-service
Golf Play Dataset,/priy998/golf-play-dataset
Temporal Graphs,/wolfram77/graphs-temporal
plant diary,/yungbyun/plant-diary-new
EEG Analysis,/jbouv27/eeg
US Holiday Dates (2004 - 2021),/donnetew/us-holiday-dates-2004-2021
trainplaytennis,/tareqjoy/trainplaytennis
control_data,/tammyrotem/control-data
PlayTennis,/sdk1810/playtennis
experiment_data,/tammyrotem/experiment-data
Active Ratio Prediction of Covid Data,/trohitbharadwaj/active-ratio-prediction-of-covid-data
Position_Salaries.csv,/mariospirito/position-salariescsv
Cyber Crime Statewise (INDIA),/amritvirsinghx/cyber-crime-statewise
salary_data of Employees with years of Experience,/harsh45/random-salary-data-of-employes-age-wise
Best Selling Video Games in the World,/aayushmishra1512/best-selling-video-games-in-the-world
socialnetworkad,/gargmanas/socialnetworkad
Match Making,/gargmanas/matchmaking
Sexual Orientation Laws in the World,/mpwolke/cusersmarildownloadsomophobiacsv
ISO Country Codes - Global,/andradaolteanu/iso-country-codes-global
Population Pyramid 2019,/hotessy/population-pyramid-2019
Breast cancer dataset ,/ankitbarai507/breast-cancer-dataset
ADIDAS quarterly sales,/kofi2614/adidas-quarterly-sales
vehicle_mpg,/cavalryjim/vehcile-mpg
Iris datasets,/chuckyin/iris-datasets
country to continent,/statchaitya/country-to-continent
Global IQ Index 2021,/chaudharypriyanshu/global-iq-index
India Population ,/sansuthi/indian-population
U.S. Inflation Data,/varpit94/us-inflation-data-updated-till-may-2021
Advertising Data,/purbar/advertising-data
Copper wire production line dataset,/osroru/copper-wire-production-line-dataset
Office Supply Sales,/fmendes/office-supply-sales
Early Stage Diabetes 2020,/sujan97/early-stage-diabetes-2020
lecture7risk2,/jhskaggle/lecture7risk2
COVID-19 Economic Impact ,/vignesh9147/covid19-economic-impact
petrol consumption,/harinir/petrol-consumption
Gas emissions (CO2-e) by transport sector.,/mpwolke/cusersmarildownloadsdioxidecsv
Salary Dataset For Employee As A Work Experience,/jillanisofttech/salary-dataset-for-employee-as-a-work-experience
Heart Disease Dataset,/zeeshanmulla/heart-disease-dataset
Small Covid dataset,/sonalisingh1411/small-covid-dataset
Airlines Passenger Data,/ternaryrealm/airlines-passenger-data
Fertilizer Prediction,/gdabhishek/fertilizer-prediction
Airline Safety,/mysarahmadbhat/airline-safety
Monthly Rainfall Index and Flood Probability,/mukulthakur177/kerela-flood
iris_data,/kamrankausar/iris-data
covid19 global forecasting: locations population,/dgrechka/covid19-global-forecasting-locations-population
List of English contractions,/ishivinal/contractions
Heart_Disease,/volodymyrgavrysh/heart-disease
lecture7risk,/jhskaggle/lecture7risk
Theory of mind in remitted bipolar disorder,/mercheovejero/theory-of-mind-in-remitted-bipolar-disorder
Indian cities database,/parulpandey/indian-cities-database
Asia Population 2020,/sansuthi/asian-countries-by-population
JOB SURVEY INDIA,/tejashvi14/job-survey-india
Google Mobility,/chaibapat/google-mobility
Alcohol Comsumption around the World,/codebreaker619/alcohol-comsumption-around-the-world
Wine_pca,/akram24/wine-pca
VALORANT Agents,/aminnurrasyid/valorant-agents
USA States to region,/omer2040/usa-states-to-region
Physionet Challenge 2020 - SNOMED mappings,/bjoernjostein/physionet-snomed-mappings
Dataset of Laptop Users 🗃📌💻,/alyeasin/dataset-of-laptop-users
Student Marks,/arunkumar413/student-marks
Deforestation and Forest Loss,/chiticariucristian/deforestation-and-forest-loss
lecture6-drug,/jhskaggle/lecture6drug
Heart Disease Prediction UCI,/priyanka841/heart-disease-prediction-uci
Plastic Deposit into World Oceans,/sansuthi/plastic-input-into-worlds-oceans
Weather Australia - Geo Coordinates,/shamilnabi/weather-australia-geo-coordinates
FDI-Case-Study,/mfaisalqureshi/fdicasestudy
Average rainfall and temperature in UK(2010-2019),/aryakrishnanar/average-rainfall-and-temperature-in-uk20102019
FIFA worldcup 2018 Dataset,/ahmedelnaggar/fifa-worldcup-2018-dataset
Smart Cities Index Datasets,/magdamonteiro/smart-cities-index-datasets
Temperatures of INDIA,/venky73/temperatures-of-india
USA Statewise Latest Covid-19 Data,/anandhuh/usa-statewise-latest-covid19-data
"Latest Covid-19 Cases Maharashtra, India",/anandhuh/latest-covid19-cases-maharashtra-india
Linear Regression,/ameynoolkar/linear-regression
Wheat-Seeds,/jmcaro/wheat-seedsuci
Brooklyn Food Waste,/ursulakaczmarek/brooklyn-food-waste
Ad Click Prediction - Classification Problem,/jahnveenarang/cvdcvd-vd
Apple Financial Key Ratios,/mpwolke/cusersmarildownloadsratioscsv
"2018 calorie, exercise and weight changes",/chrisbow/2018-calorie-exercise-and-weight-changes
Marbles,/ahmedashrafmokhtar/marbles
Social_Network_Ads,/akram24/social-network-ads
Heart Disease Cleveland UCI,/cherngs/heart-disease-cleveland-uci
Rebound Hammer (Schmidt hammer) calibration data,/matbau/rebound-hammer-schmidt-hammer-calibration-data
World Population by Year,/sansuthi/world-population-by-year
Korean Medicine Prescription Samples,/spynos/korean-medicine-prescription-samples
Cholesterol,/mathurinache/cholesterol
Brain tumor 3D blender CSV ,/ammarnassanalhajali/brain-tumor-3d-blender-csv
Wine Customer Segmentation,/sadeghjalalian/wine-customer-segmentation
Olympic Games 2021 Medals,/stefanzivanov/olympic-games-2021-medals
Student Social Anxiety Survey,/carlsonhoo/university-social-anxiety-survey
Entrepreneurial Competency in University Students,/namanmanchanda/entrepreneurial-competency-in-university-students
Global Internet Usage,/sansuthi/gapminder-internet
Healthcare cost,/ravichaubey1506/healthcare-cost
E-Learning Student Reactions,/marlonferrari/elearning-student-reactions
Weather Data in India,/mahendran1/weather-data-in-india-from-1901-to-2017
DDoS Botnet Attack on IOT Devices,/siddharthm1698/ddos-botnet-attack-on-iot-devices
Cars93,/anand0427/cars93
COVID-19's Impact on Educational Stress,/bsoyka3/educational-stress-due-to-the-coronavirus-pandemic
Latest Covid-19 Confirmed Cases Kerala,/anandhuh/covid19-confirmed-cases-kerala
Kyphosis Dataset,/abbasit/kyphosis-dataset
lecture6drug4,/jhskaggle/lecture6drug4
Food Banks in California,/ccampana/food-banks-in-california
Yacht Hydrodynamics Data Set,/heitornunes/yacht-hydrodynamics-data-set
Datasets_Mechanical_Rotating machinery,/kimalpha/datasets-mechanical-rotation
Fitness Trends Dataset,/aroojanwarkhan/fitness-data-trends
mtcars,/lavanya321/mtcars
Los 100 clubes de futbol mejor valuados del mundo,/santiagovolpi/los-100-clubes-de-futbol-mejor-valuados-del-mundo
Trending TV Shows on Netflix,/ritesh2000/trending-tv-shows-on-netflix
COVID-19 State Data,/nightranger77/covid19-state-data
Zoo Animals Extended Dataset,/agajorte/zoo-animals-extended-dataset
US Monthly Unemployment Rate 1948 - Present,/tunguz/us-monthly-unemployment-rate-1948-present
Seed_from_UCI,/dongeorge/seed-from-uci
penguins,/larsen0966/penguins
Salary_data,/vihansp/salary-data
Earnings of females and males employees.,/mpwolke/cusersmarildownloadsearningcsv
Tic-Tac-Toe End game Dataset UCI,/aungpyaeap/tictactoe-endgame-dataset-uci
Veteran Employment Outcomes,/mpwolke/cusersmarildownloadsvetcsv
Income and Happiness Correction,/levyedgar44/income-and-happiness-correction
Sleep Pattern,/krupa1999/sleep-pattern
Titanic: all ones csv file,/brendan45774/gender-submisson
Customer_Behaviour,/denisadutca/customer-behaviour
2019 Census US Population Data By State,/peretzcohen/2019-census-us-population-data-by-state
Latest COVID-19 India Statewise Vaccine Data,/anandhuh/covid19-india-statewise-vaccine-data
Customer Data,/shrutimechlearn/customer-data
Student performance,/hdawkins/student-performance
Social Network Ads,/d4rklucif3r/social-network-ads
Calories Burned During Exercise and Activities,/aadhavvignesh/calories-burned-during-exercise-and-activities
student course recommendation system,/bhuvanrj/student-course-recommendation-system
Forbes Highest Paid Athletes 1990-2020,/parulpandey/forbes-highest-paid-athletes-19902019
Position_Salaries,/akram24/position-salaries
Mall_customer,/shwetabh123/mall-customer
seaborn_tips_dataset,/ranjeetjain3/seaborn-tips-dataset
Old Faithful,/janithwanni/old-faithful
1.01. Simple linear regression.csv,/luddarell/101-simple-linear-regressioncsv
Time Series starter dataset,/podsyp/time-series-starter-dataset
BMD dataset,/amarsharma768/bmd-data
Drug Use By Age,/tunguz/drug-use-by-age
Latest Covid19 Data of Asian Countries,/anandhuh/latest-covid19-data-of-asian-countries
Football teams | Rankings | Stats,/varpit94/football-teams-rankings-stats
Diabetes UCI Dataset,/alakaaay/diabetes-uci-dataset
suv_data,/iamaniket/suv-data
Sleep Study,/mlomuscio/sleepstudypilot
Possum Regression,/abrambeyer/openintro-possum
International airline passengers,/andreazzini/international-airline-passengers
Food Preferences,/vijayashreer/food-preferences
Finance Data ,/nitindatta/finance-data
Advertising.csv,/bumba5341/advertisingcsv
In the Moods to Plot % Sign?,/mpwolke/cusersmarildownloadsmoodcsv
Top 50 Highest Grossing Movies Dataset,/oddasparagus11/top-50-highest-grossing-movies-dataset
Star Type Classification / NASA,/brsdincer/star-type-classification
Startup - Multiple Linear Regression,/karthickveerakumar/startup-logistic-regression
Violent Crime Rates by US State,/mathchi/violent-crime-rates-by-us-state
Marvel vs DC,/leonardopena/marvel-vs-dc
flight,/ohseokkim/flight
lecture06risk,/jhskaggle/lecture06risk
Zoom Fatigue pada Mahasiswa Indonesia,/iganarendra/zoom-fatigue-pada-mahasiswa-indonesia
Female Employment vs Socioeconimic Factors,/mdmuhtasimbillah/female-employment-vs-socioeconimic-factors
Latest Covid-19 india statewise data,/swatikhedekar/latest-covid19-india-statewise-data
Advertising and Sales,/sazid28/advertising.csv
Tuberose Flower,/vipin20/flower
Mall_Customers,/akram24/mall-customers
Tempurature Data Elements,/schorsi/tempurature-data-elements
Brazilian Electricity Price Ranking,/iagomachadoeng/brazilian-energy-price-ranking
helthcare Data,/deeps2020/helthcare-data
Blood Type Distribution by Country ,/ricardopaula/blood-type-distribution-by-country
Hospitals count in India - Statewise,/gokulprakash22/hospitals-count-in-india-statewise
2014 West African Ebola virus epidemic timeline,/hotstaff/west-african-ebola-virus-epidemic-timeline
Tennis,/m1thr4nd1r/tennis
indonesia-covid19,/tarumainfo/indonesiacovid19
Sleep Data,/mathurinache/sleep-dataset
Personality Scale Analysis,/brsdincer/personality-scale-analysis
Top 100 Greatest Hollywood Actors of All Time,/iamsouravbanerjee/top-100-greatest-hollywood-actors-of-all-time
grocery_items,/omarmagdy711/grocery-items
🏆 Food Nutrition Information summary,/lazycoder00/-nutritionalfacts-fruit-vegetables-seafood
Abortion Statistics ,/mpwolke/cusersmarildownloadsabortioncsv
Malaysia 2010 Census Demographics,/rturley/malaysia-2010-census-demographics
Survival from Malignant Melanoma ,/ukveteran/survival-from-malignant-melanoma
GATE Examination,/nehaprabhavalkar/gate-examination
Apps Millennials Uses The Most ,/shyamgupta196/apps-user-used-the-most
Acute_nephritis,/subh86/acute-nephritis
IPL umpires by country,/subhodeepchandra/ipl-umpires-by-country
Prestigious Awards in India from 1954 to 2013,/mahendran1/prestigious-awards-in-india-from-1954-to-2013
Cancer Data 2017,/akhilanto008/cancer-data-2017
Divorce Predictors Data Set,/adisak/divorce-predictors-data-set
House prediction for zipcode,/abhisheikreddy646/house-prediction-for-zipcode
Gender discrimination,/hjmjerry/gender-discrimination
Google_Stock_Price_Test,/akram24/google-stock-price-test
Russia Covid Vaccination,/rajkumarl/russia-covid-vaccination
auto.csv,/mandragorassster/autocsv
autoPrice,/mathurinache/autoprice
Iris_dataset,/ashishs0ni/iris-dataset
online.csv,/rahuljoysoyal/onlinecsv
Yahoo Finance NIFTY SYMBOL,/jhasony/yahoo-finance-nifty-symbol
"EV_CARS available in ""INDIA"" till oct-2021",/vishalturare/ev-cars-available-in-india-till-oct2021
IRIS flower dataset,/shantanuss/iris-flower-dataset
Electric Cars 2021,/searoll/electric-cars-2021
